,id,cardname,setname,type_line,mana_cost,rarity,oracle_text,power,toughness,loyalty,cmc,set,color_identity,colors,reprint,layout,legalities,timestamp,price
0,7a10f979-63e0-4999-9047-fdbd914cedf4,Timber Gorge,Dominaria,Land,,common,"Timber Gorge enters the battlefield tapped.
{T}: Add {R} or {G}.",,,,0.0,dom,"['G', 'R']",[],True,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1542300980380,0.1
1,f670d02b-9bfc-4671-97ed-59bfbe633d82,Pyromantic Pilgrim,Dominaria,Creature — Human Wizard,{2}{R},common,Haste (This creature can attack and {T} as soon as it comes under your control.),3,1,,3.0,dom,['R'],['R'],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1529168180380,0.3
2,d4585bcf-288b-4251-b57f-9d7e50dffc7e,Meandering River,Dominaria,Land,,common,"Meandering River enters the battlefield tapped.
{T}: Add {W} or {U}.",,,,0.0,dom,"['U', 'W']",[],True,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1542300980379,0.1
3,9ba8df17-ab81-4e28-b274-ad38aa2899b3,Temporal Machinations,Dominaria,Sorcery,{2}{U},common,"Return target creature to its owner's hand. If you control an artifact, draw a card.",,,,3.0,dom,['U'],['U'],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1542300980379,0.1
4,28564ac6-8b9b-4b99-9630-8fb3158d354c,Voltaic Servant,Dominaria,Artifact Creature — Construct,{2},common,"At the beginning of your end step, untap target artifact.",1,3,,2.0,dom,[],[],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780377,0.3
5,badc7db8-386e-4fb6-aefa-591e99747eb2,Sparring Construct,Dominaria,Artifact Creature — Construct,{1},common,"When Sparring Construct dies, put a +1/+1 counter on target creature you control.",1,1,,1.0,dom,[],[],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780377,0.3
6,90c7bea0-79c9-4856-8279-cef7cee82fc1,Skittering Surveyor,Dominaria,Artifact Creature — Construct,{3},common,"When Skittering Surveyor enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.",1,2,,3.0,dom,[],[],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780377,0.3
7,cb79a623-21c3-4310-bc76-310935511d45,Short Sword,Dominaria,Artifact — Equipment,{1},common,"Equipped creature gets +1/+1.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,,,1.0,dom,[],[],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780376,0.3
8,d62fd366-c287-48c3-9ded-5dc63a34518c,Powerstone Shard,Dominaria,Artifact,{3},common,{T}: Add {C} for each artifact you control named Powerstone Shard.,,,,3.0,dom,[],[],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780376,0.3
9,2fffe967-3a99-4f00-af46-f4e5567598df,Pardic Wanderer,Dominaria,Artifact Creature — Golem,{6},common,Trample,5,5,,6.0,dom,[],[],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780376,0.3
10,6a283135-7a51-4cf7-82a6-7e50894e64a5,Navigator's Compass,Dominaria,Artifact,{1},common,"When Navigator's Compass enters the battlefield, you gain 3 life.
{T}: Until end of turn, target land you control becomes the basic land type of your choice in addition to its other types.",,,,1.0,dom,[],[],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780376,0.3
11,446579ab-5e36-44e2-84d7-cfa537619146,Jousting Lance,Dominaria,Artifact — Equipment,{2},common,"Equipped creature gets +2/+0.
As long as it's your turn, equipped creature has first strike.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",,,,2.0,dom,[],[],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780376,0.3
12,bbbc615a-708a-444b-acab-871cce22694d,Guardians of Koilos,Dominaria,Artifact Creature — Construct,{5},common,"When Guardians of Koilos enters the battlefield, you may return another target historic permanent you control to its owner's hand. (Artifacts, legendaries, and Sagas are historic.)",4,4,,5.0,dom,[],[],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780375,0.3
13,5f8125b6-911e-4663-962a-d741984c927d,Bloodtallow Candle,Dominaria,Artifact,{1},common,"{6}, {T}, Sacrifice Bloodtallow Candle: Target creature gets -5/-5 until end of turn.",,,,1.0,dom,[],[],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780375,0.3
14,25afd4a7-4253-4a4e-a105-e92f64460faa,Aesthir Glider,Dominaria,Artifact Creature — Bird Construct,{3},common,"Flying
Aesthir Glider can't block.",2,1,,3.0,dom,[],[],True,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780375,0.3
15,5ef6b657-7273-4abe-92f4-e1e4cda78f96,Yavimaya Sapherd,Dominaria,Creature — Fungus,{2}{G},common,"When Yavimaya Sapherd enters the battlefield, create a 1/1 green Saproling creature token.",2,2,,3.0,dom,['G'],['G'],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780373,0.3
16,2578d25e-5f8d-42ff-90ce-4e7d100cbbb6,Saproling Migration,Dominaria,Sorcery,{1}{G},common,"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Create two 1/1 green Saproling creature tokens. If this spell was kicked, create four of those tokens instead.",,,,2.0,dom,['G'],['G'],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1538499380372,0.2
17,39fb52be-0e17-437d-8583-af69cdfff87b,Primordial Wurm,Dominaria,Creature — Wurm,{4}{G}{G},common,,7,6,,6.0,dom,['G'],['G'],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780372,0.3
18,df491512-ba8a-4ba5-ad42-338190201170,Pierce the Sky,Dominaria,Instant,{1}{G},common,Pierce the Sky deals 7 damage to target creature with flying.,,,,2.0,dom,['G'],['G'],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780372,0.3
19,db18bbcd-527d-4134-a6ae-6f4381419867,Mammoth Spider,Dominaria,Creature — Spider,{4}{G},common,Reach,3,5,,5.0,dom,['G'],['G'],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780372,0.3
20,c8026d80-2e91-46f9-ae97-1f137848236c,Llanowar Scout,Dominaria,Creature — Elf Scout,{1}{G},common,{T}: You may put a land card from your hand onto the battlefield.,1,3,,2.0,dom,['G'],['G'],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780372,0.3
21,1a667bba-ecf0-4212-8ca3-75d4db6abce2,Llanowar Envoy,Dominaria,Creature — Elf Scout,{2}{G},common,{1}{G}: Add one mana of any color.,3,2,,3.0,dom,['G'],['G'],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780372,0.3
22,581b7327-3215-4a4f-b4ae-d9d4002ba882,Llanowar Elves,Dominaria,Creature — Elf Druid,{G},common,{T}: Add {G}.,1,1,,1.0,dom,['G'],['G'],True,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1542300980372,0.1
23,c332dc82-7664-44d0-b92a-a3d867399884,Krosan Druid,Dominaria,Creature — Centaur Druid,{2}{G},common,"Kicker {4}{G} (You may pay an additional {4}{G} as you cast this spell.)
When Krosan Druid enters the battlefield, if it was kicked, you gain 10 life.",2,3,,3.0,dom,['G'],['G'],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1528217780372,0.3
24,51d4d1c2-671c-498c-a232-7d076e3dc3bb,Grow from the Ashes,Dominaria,Sorcery,{2}{G},common,"Kicker {2} (You may pay an additional {2} as you cast this spell.)
Search your library for a basic land card, put it onto the battlefield, then shuffle your library. If this spell was kicked, instead search your library for two basic land cards, put them onto the battlefield, then shuffle your library.",,,,3.0,dom,['G'],['G'],False,normal,"{'standard': 'legal', 'future': 'legal', 'frontier': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'legal'}",1542300980371,0.1
